system	state	active_Co	O_atom	role	assigned_ideal_direction	distance_A	trans_partner	trans_angle_deg	fit_angular_deviation_deg	octahedral_fit_RMS_deg	bond_global_x	bond_global_y	bond_global_z	bond_local_x	bond_local_y	bond_local_z	local_x_global_x	local_x_global_y	local_x_global_z	local_y_global_x	local_y_global_y	local_y_global_z	local_z_global_x	local_z_global_y	local_z_global_z	R_g2l_11	R_g2l_12	R_g2l_13	R_g2l_21	R_g2l_22	R_g2l_23	R_g2l_31	R_g2l_32	R_g2l_33
Al16_OH	*OH	16	227	spectator	+x	1.87822622	275	161.71512382	8.88664871	8.10623696	-0.19324943	-0.75421273	0.62754905	0.98799589	-0.06547866	0.13991664	-0.04676618	-0.79749183	0.60151451	0.67782646	0.41698309	0.60553811	-0.73373307	0.43604115	0.52106036	-0.04676618	0.67782646	-0.73373307	-0.79749183	0.41698309	0.43604115	0.60151451	0.60553811	0.52106036
Al16_OH	*OH	16	275	spectator	-x	1.97964949	227	161.71512382	10.58281782	8.10623696	-0.05174917	0.88117741	-0.46994509	-0.98299047	0.04778946	0.17732993	-0.04676618	-0.79749183	0.60151451	0.67782646	0.41698309	0.60553811	-0.73373307	0.43604115	0.52106036	-0.04676618	0.67782646	-0.73373307	-0.79749183	0.41698309	0.43604115	0.60151451	0.60553811	0.52106036
Al16_OH	*OH	16	217	spectator	-y	1.98922317	295	162.62121274	8.74732813	8.10623696	-0.77577003	-0.39722113	-0.49030219	0.05813652	-0.98836860	0.14052633	-0.04676618	-0.79749183	0.60151451	0.67782646	0.41698309	0.60553811	-0.73373307	0.43604115	0.52106036	-0.04676618	0.67782646	-0.73373307	-0.79749183	0.41698309	0.43604115	0.60151451	0.60553811	0.52106036
Al16_OH	*OH	16	259	Obridge	-z	2.06995812	348	172.63848353	3.66681012	8.10623696	0.76434830	-0.44592547	-0.46574903	0.03972147	0.05012334	-0.99795283	-0.04676618	-0.79749183	0.60151451	0.67782646	0.41698309	0.60553811	-0.73373307	0.43604115	0.52106036	-0.04676618	0.67782646	-0.73373307	-0.79749183	0.41698309	0.43604115	0.60151451	0.60553811	0.52106036
Al16_O	*O	16	347	Oads	+z	1.74323322	258	171.39177947	4.46793212	8.15330668	-0.69584583	0.40522255	0.59295301	0.05012674	0.05963132	0.99696109	-0.03498320	-0.80432574	0.59315788	0.67541602	0.41843135	0.60723011	-0.73660666	0.42187119	0.52861642	-0.03498320	0.67541602	-0.73660666	-0.80432574	0.41843135	0.42187119	0.59315788	0.60723011	0.52861642
Al16_O	*O	16	294	spectator	+y	1.86817064	216	162.62121274	9.65288287	8.15330668	0.55188059	0.52529063	0.64768632	-0.05763108	0.98584169	0.15746370	-0.03498320	-0.80432574	0.59315788	0.67541602	0.41843135	0.60723011	-0.73660666	0.42187119	0.52861642	-0.03498320	0.67541602	-0.73660666	-0.80432574	0.41843135	0.42187119	0.59315788	0.60723011	0.52861642
Al16_O	*O	16	226	spectator	+x	1.87822622	274	161.71512382	9.72533555	8.15330668	-0.19324943	-0.75421273	0.62754905	0.98562887	-0.06504333	0.15590092	-0.03498320	-0.80432574	0.59315788	0.67541602	0.41843135	0.60723011	-0.73660666	0.42187119	0.52861642	-0.03498320	0.67541602	-0.73660666	-0.80432574	0.41843135	0.42187119	0.59315788	0.60723011	0.52861642
Al16_O	*O	16	274	spectator	-x	1.97964949	226	161.71512382	9.70289235	8.15330668	-0.05174917	0.88117741	-0.46994509	-0.98569496	0.04839523	0.16144145	-0.03498320	-0.80432574	0.59315788	0.67541602	0.41843135	0.60723011	-0.73660666	0.42187119	0.52861642	-0.03498320	0.67541602	-0.73660666	-0.80432574	0.41843135	0.42187119	0.59315788	0.60723011	0.52861642
Al16_O	*O	16	216	spectator	-y	1.98922317	294	162.62121274	8.92083887	8.15330668	-0.77577003	-0.39722113	-0.49030219	0.05580749	-0.98790353	0.14467943	-0.03498320	-0.80432574	0.59315788	0.67541602	0.41843135	0.60723011	-0.73660666	0.42187119	0.52861642	-0.03498320	0.67541602	-0.73660666	-0.80432574	0.41843135	0.42187119	0.59315788	0.60723011	0.52861642
Al16_O	*O	16	258	Obridge	-z	2.06995812	347	171.39177947	4.17232028	8.15330668	0.76434830	-0.44592547	-0.46574903	0.05566727	0.04684705	-0.99734974	-0.03498320	-0.80432574	0.59315788	0.67541602	0.41843135	0.60723011	-0.73660666	0.42187119	0.52861642	-0.03498320	0.67541602	-0.73660666	-0.80432574	0.41843135	0.42187119	0.59315788	0.60723011	0.52861642
